Modelo,CodigoModelo,AnoLabel,AnoModelo,Combustivel,Valor,CodigoFipe,MesReferencia,DataConsulta,Valor_num,Marca
Gol (novo) 1.0 Mi Total Flex 8V 2p,6280,,,,,,,,,VW - VolksWagen
Gol (novo) 1.0 Mi Total Flex 8V 4p,4689,,,,,,,,,VW - VolksWagen
Gol (novo) 1.6 Mi Total Flex 8V 2p,6281,,,,,,,,,VW - VolksWagen
Gol (novo) 1.6 Mi Total Flex 8V 4p,4691,,,,,,,,,VW - VolksWagen
Gol (novo) 1.6 Power/Highi T.Flex 8v 4P,4690,,,,,,,,,VW - VolksWagen
Gol 1.0 Flex 12V 5p,8323,2023 Flex,2023.0,Flex,"R$ 55.012,00",005490-9,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:20",55012.0,VW - VolksWagen
Gol 1.0 Flex 12V 5p,8323,2022 Flex,2022.0,Flex,"R$ 50.561,00",005490-9,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:21",50561.0,VW - VolksWagen
Gol 1.0 Flex 12V 5p,8323,2021 Flex,2021.0,Flex,"R$ 45.742,00",005490-9,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:21",45742.0,VW - VolksWagen
Gol 1.0 Flex 12V 5p,8323,2020 Flex,2020.0,Flex,"R$ 43.946,00",005490-9,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:21",43946.0,VW - VolksWagen
Gol 1.0 Flex 12V 5p,8323,2019 Flex,2019.0,Flex,"R$ 40.087,00",005490-9,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:21",40087.0,VW - VolksWagen
Gol 1.0 Mi FUN/ Highway/ Sport 16V  2/4p,2381,,,,,,,,,VW - VolksWagen
Gol 1.0 Plus 16v 2p,2382,,,,,,,,,VW - VolksWagen
Gol 1.0 Plus 16v 4p,2383,,,,,,,,,VW - VolksWagen
Gol 1.0 Plus 8v 2p,2384,,,,,,,,,VW - VolksWagen
Gol 1.0 Plus 8v 4p,2385,,,,,,,,,VW - VolksWagen
Gol 1.0 Power 16v 76cv 4p,2386,,,,,,,,,VW - VolksWagen
Gol 1.0 Total Flex 8V 5p (25 Anos),5941,,,,,,,,,VW - VolksWagen
Gol 1.0 Trend/ Power 8V 2p,2387,,,,,,,,,VW - VolksWagen
Gol 1.0 Trend/ Power 8V 4p,2388,,,,,,,,,VW - VolksWagen
Gol 1.6 I MOTI.Power/Highli T.Flex 8V 4p,5114,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi I MOTION Total Flex 8V 3p,6454,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi Plus Total Flex 8V 2p,2389,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi Plus Total Flex 8V 4p,2390,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi Power Total Flex 8V 4p,2391,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi Rallye I MOTION T. Flex 8V 4p,5404,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi Rallye Total Flex 8V 4p,2392,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi/ 1.6i 2p,2393,,,,,,,,,VW - VolksWagen
Gol 1.6 Mi/ Power 1.6 Mi 4p,2394,,,,,,,,,VW - VolksWagen
Gol 1.6 MSI Flex 16V 5p Aut.,8463,2022 Flex,2022.0,Flex,"R$ 61.003,00",005502-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:24",61003.0,VW - VolksWagen
Gol 1.6 MSI Flex 16V 5p Aut.,8463,2021 Flex,2021.0,Flex,"R$ 59.515,00",005502-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:25",59515.0,VW - VolksWagen
Gol 1.6 MSI Flex 16V 5p Aut.,8463,2020 Flex,2020.0,Flex,"R$ 58.063,00",005502-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:25",58063.0,VW - VolksWagen
Gol 1.6 MSI Flex 16V 5p Aut.,8463,2019 Flex,2019.0,Flex,"R$ 52.675,00",005502-6,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:25",52675.0,VW - VolksWagen
Gol 1.6 MSI Flex 8V 5p,8324,2022 Flex,2022.0,Flex,"R$ 57.620,00",005491-7,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:26",57620.0,VW - VolksWagen
Gol 1.6 MSI Flex 8V 5p,8324,2021 Flex,2021.0,Flex,"R$ 51.010,00",005491-7,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:26",51010.0,VW - VolksWagen
Gol 1.6 MSI Flex 8V 5p,8324,2020 Flex,2020.0,Flex,"R$ 47.959,00",005491-7,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:26",47959.0,VW - VolksWagen
Gol 1.6 MSI Flex 8V 5p,8324,2019 Flex,2019.0,Flex,"R$ 44.964,00",005491-7,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:26",44964.0,VW - VolksWagen
Gol 1.8 Mi,2395,,,,,,,,,VW - VolksWagen
Gol 1.8 Mi 4p,2396,,,,,,,,,VW - VolksWagen
Gol 1.8 Mi Power Total Flex 8V 4p,2397,,,,,,,,,VW - VolksWagen
Gol 1.8 Mi Rallye Total Flex 8V 4p,2398,,,,,,,,,VW - VolksWagen
Gol 1000 (modelo antigo),2399,,,,,,,,,VW - VolksWagen
Gol 1000 Mi 16V 2p Turbo,2400,,,,,,,,,VW - VolksWagen
Gol 1000 Mi 16V 4p Turbo,2401,,,,,,,,,VW - VolksWagen
Gol 1000 Mi 16V/ Ouro  2p,2402,,,,,,,,,VW - VolksWagen
Gol 1000 Mi 16V/ Ouro 4p,2403,,,,,,,,,VW - VolksWagen
Gol 1000 Mi 2p  / 1000i,2404,,,,,,,,,VW - VolksWagen
Gol 1000 Mi 4p,2405,,,,,,,,,VW - VolksWagen
Gol 1000 Mi Plus 16V 2p e 4p,2406,,,,,,,,,VW - VolksWagen
Gol 1000 Mi Plus 8v 2p e 4p,2407,,,,,,,,,VW - VolksWagen
Gol 1000i Plus 2p,2408,,,,,,,,,VW - VolksWagen
Gol 2.0 Mi 2p,2409,,,,,,,,,VW - VolksWagen
Gol 2.0 Mi 4p,2410,,,,,,,,,VW - VolksWagen
Gol BLACK 1.0 Mi Total Flex 8V 4p,5750,,,,,,,,,VW - VolksWagen
Gol City (Trend) 1.0 Mi Total Flex 8V 2p,2413,,,,,,,,,VW - VolksWagen
Gol City (Trend) 1.6 Mi T. Flex 8V 2p,3832,,,,,,,,,VW - VolksWagen
Gol City (Trend) 1.6 Mi T.Flex 8V 4p,2417,,,,,,,,,VW - VolksWagen
Gol City (Trend)/Titan 1.0 T. Flex 8V 4p,2414,,,,,,,,,VW - VolksWagen
Gol City 1.0 Mi 8V 2p,2411,,,,,,,,,VW - VolksWagen
Gol City 1.0 Mi 8V 4p,2412,,,,,,,,,VW - VolksWagen
Gol City 1.0 Total Flex 12V 2p,9098,,,,,,,,,VW - VolksWagen
Gol City 1.0 Total Flex 12V 4P,8840,,,,,,,,,VW - VolksWagen
Gol City 1.6 Mi 8V 2p,2415,,,,,,,,,VW - VolksWagen
Gol City 1.6 Mi 8V 4p,2416,,,,,,,,,VW - VolksWagen
Gol CL 1.6 Mi 2p e 4p,2418,,,,,,,,,VW - VolksWagen
Gol CL 1.8 Mi 2p e 4p,2419,,,,,,,,,VW - VolksWagen
Gol CLi / CL 1.8,2420,,,,,,,,,VW - VolksWagen
Gol CLi / CL/ Copa/ Stones 1.6,2421,,,,,,,,,VW - VolksWagen
Gol Comfort. I MOTION 1.6 T. Flex 8V 3p,6791,,,,,,,,,VW - VolksWagen
Gol Comfort. I MOTION 1.6 T. Flex 8V 5p,6792,2018 Flex,2018.0,Flex,"R$ 45.854,00",005394-5,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:33",45854.0,VW - VolksWagen
Gol Comfortline 1.0 T. Flex 12V 5p,7521,,,,,,,,,VW - VolksWagen
Gol Comfortline 1.0 T. Flex 8V 3p,6787,,,,,,,,,VW - VolksWagen
Gol Comfortline 1.0 T. Flex 8V 5p,6788,,,,,,,,,VW - VolksWagen
Gol Comfortline 1.6 T. Flex 8V 3p,6789,,,,,,,,,VW - VolksWagen
Gol Comfortline 1.6 T. Flex 8V 5p,6790,2018 Flex,2018.0,Flex,"R$ 45.785,00",005392-9,fevereiro de 2026 ,"domingo, 15 de fevereiro de 2026 01:34",45785.0,VW - VolksWagen
Gol COPA 1.0 Mi Total Flex 8V 4p,3958,,,,,,,,,VW - VolksWagen
Gol COPA 1.6 Mi Total Flex 8V 4p,3959,,,,,,,,,VW - VolksWagen
Gol ECOMOTION  1.0 Mi Total Flex 8V 4p,5218,,,,,,,,,VW - VolksWagen
