auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
0,CHEV,ONIX PLUS 10MT LT2,33000.0,2021,001,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=1,46.15384615384615,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2021,004517-9,8949,59730.0,0.5524861878453039,50770.5,ok
0,CHEV,ONIX PLUS 10MT LT2,33000.0,2021,001,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=1,45.6140350877193,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V Flex 4p Mec.,2021,004518-7,8950,59814.0,0.5517103019360016,50841.9,ok
0,CHEV,ONIX PLUS 10MT LT2,33000.0,2021,001,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=1,45.6140350877193,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Aut.,2021,004501-2,8825,66871.0,0.49348746093224266,56840.35,ok
0,CHEV,ONIX PLUS 10MT LT2,33000.0,2021,001,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=1,45.6140350877193,GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Mec.,2021,004500-4,8826,66352.0,0.4973474801061008,56399.2,ok
0,CHEV,ONIX PLUS 10MT LT2,33000.0,2021,001,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=1,44.827586206896555,GM - Chevrolet,ONIX SD. P. PR. MIDNIGHT 1.0 TB Flex Aut,2021,004531-4,9212,70727.0,0.46658277602612863,60117.95,ok
1,RENAULT,KWID OUTSID 10MT,32000.0,2022,002,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=2,60.0,Renault,KWID OUTSIDER 1.0 Flex 12V 5p Mec.,2022,025279-4,8701,50265.0,0.6366258828210485,42725.25,ok
1,RENAULT,KWID OUTSID 10MT,32000.0,2022,002,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=2,40.0,Renault,KWID Intense 1.0 Flex 12V 5p Mec.,2022,025267-0,8021,47401.0,0.6750912428007848,40290.85,ok
1,RENAULT,KWID OUTSID 10MT,32000.0,2022,002,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=2,40.0,Renault,KWID Life 1.0 Flex 12V 5p Mec.,2022,025265-4,8022,44168.0,0.7245064299945662,37542.799999999996,ok
1,RENAULT,KWID OUTSID 10MT,32000.0,2022,002,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=2,40.0,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2022,025266-2,8023,44383.0,0.7209967780456481,37725.549999999996,ok
2,VW,SAVEIRO CD CROSS MA,52000.0,2020,009,7822,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7822&loteNumero=9,59.25925925925926,VW - VolksWagen,Saveiro CROSS 1.6 T.Flex 16V CD,2020,005408-9,6941,82781.0,0.6281634674623404,70363.84999999999,ok
