auc_index,Marca_raw,Modelo_raw,value,AnoModelo,lote,leilao_id,details,details_url,score,fipe_Marca,fipe_Modelo,fipe_AnoModelo,fipe_CodigoFipe,fipe_CodigoModelo,fipe_Valor_num,value_fipe_ratio,max_reasonable_value,comparison_status
0,CHEV,ONIX 10MT LT2,33000.0,2021,002,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=2,47.05882352941177,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2021,004517-9,8949,59692.0,0.552837901226295,50738.2,ok
1,RENAULT,KWID ZEN 2,26000.0,2023,004,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=4,57.142857142857146,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2023,025266-2,8023,49888.0,0.5211674150096216,42404.799999999996,ok
2,FIAT,ARGO TREKKING 1.3AT,47000.0,2024,005,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=5,81.25,Fiat,ARGO TREKKING 1.3 8V Flex,2024,001519-9,8690,83197.0,0.5649242160174045,70717.45,ok
3,FIAT,MOBI LIKE,23000.0,2020,006,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=6,100.0,Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2020,001461-3,7540,44435.0,0.5176099921233263,37769.75,ok
4,RENAULT,KWID ZEN 2,24000.0,2024,008,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=8,57.142857142857146,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,2024,025266-2,8023,53166.0,0.451416318699921,45191.1,ok
6,FIAT,ARGO DRIVE 1.0,28000.0,2020,023,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=23,100.0,Fiat,ARGO DRIVE 1.0 6V Flex,2020,001494-0,7965,52404.0,0.5343103579879398,44543.4,ok
7,RENAULT,LOGAN EXP 16 SCE,17000.0,2018,025,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=25,47.61904761904762,Renault,LOGAN Authentique Flex 1.0 12V 4p,2018,025242-5,7808,34651.0,0.49060633170759865,29453.35,ok
8,CHEVROLET,ONIX 1.4AT LT,31500.0,2018,028,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=28,70.0,GM - Chevrolet,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2018,004424-5,6232,52059.0,0.6050826946349335,44250.15,ok
9,CHEV,SPIN 1.8L AT LTZ,34000.0,2018,037,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=37,43.63636363636363,GM - Chevrolet,ONIX HATCH LTZ 1.4 8V FlexPower 5p Mec.,2018,004426-1,6234,59478.0,0.5716399340932782,50556.299999999996,ok
11,CHEVROLET,ONIX 10MT JOYE,22000.0,2019,044,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=44,44.44444444444444,GM - Chevrolet,ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2019,004473-3,7691,49737.0,0.44232663811649275,42276.45,ok
16,CHEV,ONIX PLUS 10MT LT2,32000.0,2022,057,7659,FINANCEIRA,http://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=7659&loteNumero=57,46.15384615384615,GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,2022,004517-9,8949,61536.0,0.5200208008320333,52305.6,ok
