Marca_raw,Modelo_raw,AnoModelo,Placa,Combustivel_raw,Cor
I,BMW 530E IPERFORMANCE,2019,B__-___3,GAS/ELETR,CINZA
FIAT,TORO RANCH AT9 D4,2021,E__-___9,DIESEL,BRANCA
FORD,KA SE 1.5 SD C,2019,Q__-___2,GASOL/ALC,PRATA
FORD,KA SEL 1.0 HA B,2018,P__-___9,GASOL/ALC,PRATA
CHEV,ONIX PLUS 10TAT PR2,2023,F__-___2,GASOL/ALC,PRATA
I,VW TAOS CL TSI AE,2022,R__-___1,GASOL/ALC,BRANCA
CHEV,ONIX 10MT HB,2025,T__-___4,GASOL/ALC,BRANCA
FIAT,STRADA FREEDOM 13CS,2021,R__-___4,GASOL/ALC,BRANCA
CITROEN,AIRCROSS SHINEAT,2018,F__-___8,GASOL/ALC,CINZA
CHEVROLET,ONIX 10MT JOYE,2019,B__-___8,GASOL/ALC,BRANCA
FIAT,MOBI LIKE,2021,R__-___1,GASOL/ALC,BRANCA
FIAT,SIENA 1.0,2021,R__-___4,GASOL/ALC,PRATA
CHEVROLET,ONIX 10MT JOYE,2018,G__-___7,GASOL/ALC,BRANCA
I,CHEV CRUZE LT NB AT,2018,F__-___2,GASOL/ALC,BRANCA
FIAT,UNO DRIVE 1.0,2018,F__-___6,GASOL/ALC,BRANCA
CHEVROLET,ONIX 10MT JOYE,2018,P__-___6,GASOL/ALC,BRANCA
VW,NOVA SAVEIRO TL MBVS,2021,E__-___4,GASOL/ALC,BRANCA
RENAULT,KWID INTENS 10MT,2018,G__-___9,GASOL/ALC,BRANCA
RENAULT,SANDERO EXPR 10,2018,P__-___4,GASOL/ALC,BRANCA
VW,GOL 1.0L MC4,2022,R__-___0,GASOL/ALC,CINZA
FORD,ECOSPORT SE ATDT1.5,2020,Q__-___2,GASOL/ALC,BRANCA
CHEVROLET,S10 LT DD4A,2021,D__-___8,DIESEL,BRANCA
VW,GOL 1.6L MB5,2022,R__-___8,GASOL/ALC,BRANCA
HONDA,HR-V EX CVT,2018,G__-___8,GASOL/ALC,CINZA
CITROEN,C4CACTUS FEEL A,2019,E__-___8,GASOL/ALC,CINZA
HYUNDAI,CRETA 16A ATTITU,2019,D__-___8,GASOL/ALC,PRETA
NISSAN,VERSA 10,2018,B__-___4,GASOL/ALC,BRANCA
I,TOYOTA HILUX CDSRVA4FD,2021,Q__-___8,DIESEL,BRANCA
I,CHEV EQUINOX PREMIER,2018,F__-___4,GASOLINA,BRANCA
M.BENZ,GLA200FF STY,2018,Q__-___4,GASOL/ALC,BRANCA
NISSAN,KICKS ACTIVE CVT,2024,T__-___5,GASOL/ALC,CINZA
VW,UP MOVE MDV,2018,F__-___8,GASOL/ALC,CINZA
I,CHEV EQUINOX 15T PRE,2024,J__-___8,GASOLINA,BRANCA
CITROEN,C4CACTUS FEEL A,2020,E__-___8,GASOL/ALC,CINZA
CHEV,ONIX PLUS 10MT LT1,2022,B__-___4,GASOL/ALC,BRANCA
HYUNDAI,IX35 GL,2018,Q__-___8,GASOL/ALC,BRANCA
I,TOYOTA RAV4 4X2 20L,2018,F__-___4,GASOLINA,BRANCA
CHEV,SPIN 1.8L AT LT,2019,E__-___8,GASOL/ALC,CINZA
VW,FOX CONNECT MB,2019,Q__-___8,GASOL/ALC,BRANCA
VW,VIRTUS MF,2019,I__-___8,GASOL/ALC/GN,BRANCA
CHEV,ONIX PLUS 10TAT LT1,2022,R__-___8,GASOL/ALC,BRANCA
CHEV,SPIN 1.8L AT LT ADV,2018,L__-___8,SUCATA S/ DIREITO A DOCUMENTO,...
I,HONDA HR-V EX CVT,2019,Q__-___4,SUCATA S/ DIREITO A DOCUMENTO,GASO...
I,TOYOTA HILUX CDSRVA4FD,2020,R__-___4,SUCATA S/ DIREITO A DOCUMENTO,...
FIAT,FIORINO ENDURANCE,2021,R__-___7,SUCATA S/ DIREITO A DOCUMENTO,G...
HYUNDAI,HB20 10M SENSE,2020,E__-___9,SUCATA S/ DIREITO A DOCUMENTO,G...
RENAULT,KWID ZEN 10MT,2020,D__-___0,GASOL/ALC,BRANCA
JEEP,RENEGADE LGTD T270,2024,S__-___5,GASOL/ALC,AZUL
FIAT,STRADA HD WK CC E,2020,B__-___7,GASOL/ALC,BRANCA
CHEV,ONIX 10TAT HB,2022,E__-___7,GASOL/ALC,CINZA
I,FIAT CRONOS DRIVE 1.3,2020,G__-___9,GASOL/ALC,CINZA
